Scenario,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,activity,AppendixC,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,0,0,0,0,,,,,,,6.419546020013513,None,6.852051785012009,None,7.2353424500033725,None,7.2353424500033725,None,7.2353424500033725,None,0.0,1,2.111,0.004264955990947783,None,,,,001,2020_Oct_26_1652,Big5,2020.2.4,58.82026211486895,
Trying a new route that you think will be a shortcut without the benefit of a map.,0,1,1,4,,,,,,,,,,,9.368916347011691,None,9.368916347011691,None,9.368916347011691,None,0.0,1,1.546,0.010604005015920848,None,,,,001,2020_Oct_26_1652,Big5,2020.2.4,58.82026211486895,
Finding your way around in an unfamiliar mall.,0,2,2,6,,,,,,,,,,,10.935973393003223,None,10.935973393003223,None,10.935973393003223,None,0.0,1,1.178,0.004749910993268713,None,,,,001,2020_Oct_26_1652,Big5,2020.2.4,58.82026211486895,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,0,3,3,7,,,,,,,,,,,12.13616594200721,None,12.13616594200721,None,12.13616594200721,None,0.0,1,1.356,0.0025428449735045433,None,,,,001,2020_Oct_26_1652,Big5,2020.2.4,58.82026211486895,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,0,4,4,5,,,,,,,,,,,13.519390578992898,None,13.519390578992898,None,13.519390578992898,None,0.0,1,1.04,0.016483823012094945,None,,,,001,2020_Oct_26_1652,Big5,2020.2.4,58.82026211486895,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,0,5,5,1,,,,,,,,,,,14.58476768899709,None,14.58476768899709,None,14.58476768899709,None,0.0,1,1.268,0.01633542202762328,None,,,,001,2020_Oct_26_1652,Big5,2020.2.4,58.82026211486895,
Locating your car in a very large parking lot or parking garage.,0,6,6,3,,,,,,,,,,,15.885810350999236,None,15.885810350999236,None,15.885810350999236,None,0.0,1,1.53,0.006214458990143612,None,,,,001,2020_Oct_26_1652,Big5,2020.2.4,58.82026211486895,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",0,7,7,2,,,,,,,,,,,17.452927445992827,None,17.452927445992827,None,17.452927445992827,None,0.0,1,1.32,0.0122791470203083,None,,,,001,2020_Oct_26_1652,Big5,2020.2.4,58.82026211486895,
,,,,,,,,,,,,,,,,,,,,,,,,,,18.818641808000393,None,,,,,,,
