Scenario,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,0,0,0,5,5.716922885010717,None,6.149490743002389,None,6.6010772790177725,None,6.6010772790177725,None,6.6010772790177725,None,-0.2,1,1.54,0.0009392258070874959,None,,001,2020_Oct_25_1851,Big5,2020.2.4,60.102258348183724,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,0,1,1,1,,,,,8.149922723008785,None,8.149922723008785,None,8.149922723008785,None,0.2,3,1.59,0.014548302802722901,None,,001,2020_Oct_25_1851,Big5,2020.2.4,60.102258348183724,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,0,2,2,0,,,,,9.770382179005537,None,9.770382179005537,None,9.770382179005537,None,0.2,3,0.908,0.001810413901694119,None,,001,2020_Oct_25_1851,Big5,2020.2.4,60.102258348183724,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,0,3,3,7,,,,,10.703162245015847,None,10.703162245015847,None,10.703162245015847,None,0.2,3,1.057,0.0006815539090894163,None,,001,2020_Oct_25_1851,Big5,2020.2.4,60.102258348183724,
Trying a new route that you think will be a shortcut without the benefit of a map.,0,4,4,4,,,,,11.785640766000142,None,11.785640766000142,None,11.785640766000142,None,0.2,3,1.021,0.001295863912673667,None,,001,2020_Oct_25_1851,Big5,2020.2.4,60.102258348183724,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",0,5,5,2,,,,,12.836494179005967,None,12.836494179005967,None,12.836494179005967,None,0.2,3,1.205,0.015030662791104987,None,,001,2020_Oct_25_1851,Big5,2020.2.4,60.102258348183724,
Finding your way around in an unfamiliar mall.,0,6,6,6,,,,,14.069901258015307,None,14.069901258015307,None,14.069901258015307,None,0.2,3,0.993,0.0032816789171192795,None,,001,2020_Oct_25_1851,Big5,2020.2.4,60.102258348183724,
Locating your car in a very large parking lot or parking garage.,0,7,7,3,,,,,15.086727810004959,None,15.086727810004959,None,15.086727810004959,None,0.2,3,1.691,0.0025341109139844775,None,,001,2020_Oct_25_1851,Big5,2020.2.4,60.102258348183724,
