Scenario,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,activity,AppendixC,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,0,0,0,7,,,,,,,6.694243439997081,None,7.581631989974994,None,9.763562325999374,None,9.763562325999374,None,9.763562325999374,None,0.0,1,2.193,0.0035053550091106445,None,,,,001,2020_Oct_26_1651,Big5,2020.2.4,60.11508612796835,
Locating your car in a very large parking lot or parking garage.,0,1,1,3,,,,,,,,,,,11.963473209994845,None,11.963473209994845,None,11.963473209994845,None,0.0,1,1.219,0.012483818019973114,None,,,,001,2020_Oct_26_1651,Big5,2020.2.4,60.11508612796835,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,0,2,2,0,,,,,,,,,,,13.213510098983534,None,13.213510098983534,None,13.213510098983534,None,0.0,1,1.235,0.013740888040047139,None,,,,001,2020_Oct_26_1651,Big5,2020.2.4,60.11508612796835,
Trying a new route that you think will be a shortcut without the benefit of a map.,0,3,3,4,,,,,,,,,,,14.480952564976178,None,14.480952564976178,None,14.480952564976178,None,0.0,1,1.027,0.004178732022410259,None,,,,001,2020_Oct_26_1651,Big5,2020.2.4,60.11508612796835,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",0,4,4,2,,,,,,,,,,,15.530136443994706,None,15.530136443994706,None,15.530136443994706,None,0.0,1,1.553,0.01491335200262256,None,,,,001,2020_Oct_26_1651,Big5,2020.2.4,60.11508612796835,
Finding your way around in an unfamiliar mall.,0,5,5,6,,,,,,,,,,,17.113768216979224,None,17.113768216979224,None,17.113768216979224,None,0.0,1,1.459,0.0031981040083337575,None,,,,001,2020_Oct_26_1651,Big5,2020.2.4,60.11508612796835,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,0,6,6,5,,,,,,,,,,,18.59636607900029,None,18.59636607900029,None,18.59636607900029,None,0.0,1,3.2,0.01569307202589698,None,,,,001,2020_Oct_26_1651,Big5,2020.2.4,60.11508612796835,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,0,7,7,1,,,,,,,,,,,21.829910431988537,None,21.829910431988537,None,21.829910431988537,None,0.0,1,1.523,0.0020823540107812732,None,,,,001,2020_Oct_26_1651,Big5,2020.2.4,60.11508612796835,
,,,,,,,,,,,,,,,,,,,,,,,,,,23.36426674897666,None,,,,,,,
