Scenario,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,C,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,0,0,0,7,,,,,,4.992049492997467,None,5.411366505999467,None,5.876741943997331,None,5.876741943997331,None,5.876741943997331,None,0.2,2,3.081,0.008985980195575394,None,,,,001,,,2020_Oct_29_1737,Big5,2020.2.4,59.76181093348654,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,0,1,1,0,,,,,,,,,,8.979094922004151,None,8.979094922004151,None,8.979094922004151,None,0.2,2,0.568,0.015368851192761213,None,,,,001,,,2020_Oct_29_1737,Big5,2020.2.4,59.76181093348654,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,0,2,2,1,,,,,,,,,,9.577381138995406,None,9.577381138995406,None,9.577381138995406,None,0.2,2,0.424,0.016492240203660913,None,,,,001,,,2020_Oct_29_1737,Big5,2020.2.4,59.76181093348654,
Finding your way around in an unfamiliar mall.,0,3,3,6,,,,,,,,,,10.027773777997936,None,10.027773777997936,None,10.027773777997936,None,0.2,2,0.538,0.0036111761000938714,None,,,,001,,,2020_Oct_29_1737,Big5,2020.2.4,59.76181093348654,
Trying a new route that you think will be a shortcut without the benefit of a map.,0,4,4,4,,,,,,,,,,10.594281700992724,None,10.594281700992724,None,10.594281700992724,None,0.2,2,0.494,0.0017827101110015064,None,,,,001,,,2020_Oct_29_1737,Big5,2020.2.4,59.76181093348654,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,0,5,5,5,,,,,,,,,,11.12730151299911,None,11.12730151299911,None,11.12730151299911,None,0.2,2,0.52,0.00016905710799619555,None,,,,001,,,2020_Oct_29_1737,Big5,2020.2.4,59.76181093348654,
Locating your car in a very large parking lot or parking garage.,0,6,6,3,,,,,,,,,,11.677914895000868,None,11.677914895000868,None,11.677914895000868,None,0.2,2,0.575,0.004529339101281948,None,,,,001,,,2020_Oct_29_1737,Big5,2020.2.4,59.76181093348654,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",0,7,7,2,,,,,,,,,,12.277278294001007,None,12.277278294001007,None,12.277278294001007,None,0.2,2,0.528,0.01573443820234388,None,,,,001,,,2020_Oct_29_1737,Big5,2020.2.4,59.76181093348654,
,,,,,,,,,,,,,,,,,,,,,,,,,12.827196154001285,None,,,,,,,,,
