Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating_4.response,rating_4.rt,rating_4.started,rating_4.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Betting a day's income at the horse races. (G),,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,15.364155514000231,None,15.364155514000231,None,15.364155514000231,None,3,0.575,0.0038379513989639236,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Buying an illegal drug for your own use. (H),,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,15.964130641999873,None,15.964130641999873,None,15.964130641999873,None,3,0.411,0.007700922399635601,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Cheating on an exam. (E),,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,16.397882981000294,None,16.397882981000294,None,16.397882981000294,None,3,0.59,0.004295355401154666,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,17.01405350799996,None,17.01405350799996,None,17.01405350799996,None,3,0.41,0.004921180399833247,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,17.44764439699975,None,17.44764439699975,None,17.44764439699975,None,3,0.526,0.016640880799968727,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,18.01461956000003,None,18.01461956000003,None,18.01461956000003,None,3,0.404,0.00112432340029045,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Cheating by a significant amount on your income tax return. (E),,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,18.447582406999572,None,18.447582406999572,None,18.447582406999572,None,3,0.424,0.0038194374001250253,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Disagreeing with your father on a major issue. (S),,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,18.89687326999956,None,18.89687326999956,None,18.89687326999956,None,3,0.425,0.005094640399875061,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Betting a day's income at a high stake poker game. (G),,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,19.348048763000406,None,19.348048763000406,None,19.348048763000406,None,3,0.426,0.0030869884003550396,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Having an affair with a married man or woman. (E),,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,19.79767863500001,None,19.79767863500001,None,19.79767863500001,None,3,0.495,0.004791254398696765,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Forging somebody's signature. (E),,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,20.314431986000272,None,20.314431986000272,None,20.314431986000272,None,3,0.48,0.008344546400621766,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Passing off somebody else's work as your own. (E),,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,20.799648105000415,None,20.799648105000415,None,20.799648105000415,None,3,0.431,0.010106111400091322,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,21.264361911999913,None,21.264361911999913,None,21.264361911999913,None,3,0.429,0.0062809773999106255,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,21.714823295000315,None,21.714823295000315,None,21.714823295000315,None,3,0.414,0.00838709639992885,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Going down a ski run that is beyond your ability or closed. (R),,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,22.147372899999937,None,22.147372899999937,None,22.147372899999937,None,3,0.406,0.0038865574006194947,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,22.580326090999733,None,22.580326090999733,None,22.580326090999733,None,3,0.407,0.003736255400326627,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Approaching your boss to ask for a raise. (S),,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,23.01426781200007,None,23.01426781200007,None,23.01426781200007,None,3,0.412,0.006601193399546901,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Illegally copying a piece of software. (E) ,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,23.447447849999662,None,23.447447849999662,None,23.447447849999662,None,3,0.411,0.00787925639997411,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,23.88061388799997,None,23.88061388799997,None,23.88061388799997,None,3,0.406,0.0023653274001844693,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,24.313304463999884,None,24.313304463999884,None,24.313304463999884,None,3,0.406,0.0015111913990040193,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,24.747016782999708,None,24.747016782999708,None,24.747016782999708,None,3,0.686,0.00016142139975272585,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Investing 5% of your annual income in an conservative stock. (I),,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,25.46371211600035,None,25.46371211600035,None,25.46371211600035,None,3,0.41,0.0034943063992614043,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,25.89780723199965,None,25.89780723199965,None,25.89780723199965,None,3,0.429,0.010079673398649902,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,26.347370667999712,None,26.347370667999712,None,26.347370667999712,None,3,0.407,0.004146397399381385,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Engaging in unprotected sex. (H),,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,26.780206970999643,None,26.780206970999643,None,26.780206970999643,None,3,0.462,0.0063089943996601505,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,27.26332284199998,None,27.26332284199998,None,27.26332284199998,None,3,0.421,0.00032871040002646623,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,27.714513951999834,None,27.714513951999834,None,27.714513951999834,None,3,0.405,0.0003019663990926347,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,28.147283573000095,None,28.147283573000095,None,28.147283573000095,None,3,0.408,0.004155554399403627,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,28.58086233300037,None,28.58086233300037,None,28.58086233300037,None,3,0.477,0.004091611399417161,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Not wearing a helmet when riding a motorcycle. (H),,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,29.080717337999886,None,29.080717337999886,None,29.080717337999886,None,3,0.406,0.0025478223997197347,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Gambling a week's income at a casino. (G),,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,29.513594324000223,None,29.513594324000223,None,29.513594324000223,None,3,0.646,0.008301195400235883,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,30.179936348999945,None,30.179936348999945,None,30.179936348999945,None,3,0.407,0.0031771614003446302,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,30.61405971000022,None,30.61405971000022,None,30.61405971000022,None,3,0.408,0.0047373883999171085,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Exposing yourself to the sun without using sunscreen. (H),,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,31.047315668999545,None,31.047315668999545,None,31.047315668999545,None,3,0.671,0.00197093939914339,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Trying out bungee jumping at least once. (R),,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,31.747852692999913,None,31.747852692999913,None,31.747852692999913,None,3,0.412,0.006698268399304652,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,"Piloting your own small plane, if you could. (R) ",,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,32.18115243600005,None,32.18115243600005,None,32.18115243600005,None,3,0.41,0.005184636400372256,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,32.614162105000105,None,32.614162105000105,None,32.614162105000105,None,3,0.626,0.004822490399419621,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Regularly eating high cholesterol foods. (H) ,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,33.263772850999885,None,33.263772850999885,None,33.263772850999885,None,3,0.409,0.005939099400166015,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Admitting that your tastes are different from those of your friends. (S),,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7319237239999,None,33.99719992900009,None,3,12.603,0.014619146801123861,None,33.99719992900009,None,33.99719992900009,None,33.99719992900009,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.61298738700043,None,3,0.756,0.0016776994007159374,None,46.61298738700043,None,46.61298738700043,None,46.61298738700043,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Betting a day's income at the horse races. (G),,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.39621588099999,None,3,0.408,0.004359608400591242,None,47.39621588099999,None,47.39621588099999,None,47.39621588099999,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Buying an illegal drug for your own use. (H),,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.83010198200009,None,3,0.744,0.004957192400979693,None,47.83010198200009,None,47.83010198200009,None,47.83010198200009,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Cheating on an exam. (E),,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.596212933999595,None,3,0.409,0.0045331353994697565,None,48.596212933999595,None,48.596212933999595,None,48.596212933999595,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.02976146200035,None,3,0.479,0.005667799399816431,None,49.02976146200035,None,49.02976146200035,None,49.02976146200035,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.52964379399964,None,3,0.472,0.002764220399512851,None,49.52964379399964,None,49.52964379399964,None,49.52964379399964,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.01397359099974,None,3,0.5,0.009485630400376976,None,50.01397359099974,None,50.01397359099974,None,50.01397359099974,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Cheating by a significant amount on your income tax return. (E),,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.54602554699977,None,3,0.466,0.008812363399556489,None,50.54602554699977,None,50.54602554699977,None,50.54602554699977,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Disagreeing with your father on a major issue. (S),,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02912027000002,None,3,0.491,0.0026438283994139056,None,51.02912027000002,None,51.02912027000002,None,51.02912027000002,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Betting a day's income at a high stake poker game. (G),,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.54642960700039,None,3,0.444,0.0035283364004499163,None,51.54642960700039,None,51.54642960700039,None,51.54642960700039,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Having an affair with a married man or woman. (E),,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.013211915000284,None,3,0.414,0.006576560399480513,None,52.013211915000284,None,52.013211915000284,None,52.013211915000284,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Forging somebody's signature. (E),,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4467361979996,None,3,0.425,0.005086460399979842,None,52.4467361979996,None,52.4467361979996,None,52.4467361979996,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Passing off somebody else's work as your own. (E),,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.896100693000335,None,3,0.478,0.005656042399095895,None,52.896100693000335,None,52.896100693000335,None,52.896100693000335,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.39623466899957,None,3,0.442,0.0012087794002582086,None,53.39623466899957,None,53.39623466899957,None,53.39623466899957,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86265644499963,None,3,0.57,5.5807399803597946e-05,None,53.86265644499963,None,53.86265644499963,None,53.86265644499963,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.46332708299997,None,3,0.439,0.0032403994000560488,None,54.46332708299997,None,54.46332708299997,None,54.46332708299997,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.92950084899985,None,3,0.459,0.0031941444003678043,None,54.92950084899985,None,54.92950084899985,None,54.92950084899985,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Approaching your boss to ask for a raise. (S),,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.413128004999635,None,3,0.429,0.007812963400283479,None,55.413128004999635,None,55.413128004999635,None,55.413128004999635,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Illegally copying a piece of software. (E) ,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.863385192999885,None,3,0.428,0.006014558399328962,None,55.863385192999885,None,55.863385192999885,None,55.863385192999885,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.313207975000296,None,3,0.408,0.0023404924004353234,None,56.313207975000296,None,56.313207975000296,None,56.313207975000296,None,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
