Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating_4.response,rating_4.rt,rating_4.started,rating_4.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,0,0,0,7,,,,,,,,,4.9138894400002755,None,5.330850440999711,None,5.797002651000184,None,5.797002651000184,None,5.797002651000184,None,0.4,3,1.43,0.00873921180027537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,0,1,1,5,,,,,,,,,,,,,7.247719580999728,None,7.247719580999728,None,7.247719580999728,None,0.4,3,1.449,0.009084861801056832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
Trying a new route that you think will be a shortcut without the benefit of a map.,,0,2,2,4,,,,,,,,,,,,,8.714214700999946,None,8.714214700999946,None,8.714214700999946,None,0.4,3,1.452,0.00021003239999117795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,0,3,3,0,,,,,,,,,,,,,10.198210909000409,None,10.198210909000409,None,10.198210909000409,None,0.4,3,1.707,0.0013473334001901094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,0,4,4,1,,,,,,,,,,,,,11.930781486999877,None,11.930781486999877,None,11.930781486999877,None,0.4,3,0.72,0.00013511039924196666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,0,5,5,2,,,,,,,,,,,,,12.681243377999635,None,12.681243377999635,None,12.681243377999635,None,0.4,3,0.574,0.01571979780055699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
Finding your way around in an unfamiliar mall.,,0,6,6,6,,,,,,,,,,,,,13.28100087599978,None,13.28100087599978,None,13.28100087599978,None,0.4,3,0.424,0.0030090133996054647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
Locating your car in a very large parking lot or parking garage.,,0,7,7,3,,,,,,,,,,,,,13.7307400159998,None,13.7307400159998,None,13.7307400159998,None,0.4,3,0.424,0.0028316633997746976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,Admitting that your tastes are different from those of your friends. (S),,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,14.197363145999589,None,14.34846905500035,None,14.34846905500035,None,14.34846905500035,None,3,0.494,0.003452785600529751,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,14.864251318000242,None,14.864251318000242,None,14.864251318000242,None,3,0.473,0.003263389399762673,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1546,Big5,2020.2.4,60.0902018826284,
